time, accel 1, accel 2, accel 3, accel 4, accel top, accel bottom 
time - seconds (computed after test), deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg
3.420000000000006151e-04,4.249942883479931877e-02,5.301632884949999958e-02,3.621422565539898081e-02,6.714627786439715529e-02,5.659089155919946185e-02,0.000000000000000000e+00
3.440000000000006095e-04,2.748990883479552477e-02,4.988942884949627149e-02,3.058562565541118883e-02,2.774635786440782931e-02,3.157497155917612930e-02,0.000000000000000000e+00
3.460000000000006039e-04,2.999150883480949242e-02,4.207197884950084760e-02,2.308088565539695089e-02,4.087968786439644120e-02,1.406393155920813640e-02,0.000000000000000000e+00
3.480000000000005984e-04,6.626450883479695353e-02,5.301632884949847302e-02,2.308088565539908460e-02,2.993518786440071272e-02,2.907345155919999896e-02,0.000000000000000000e+00
3.500000000000005928e-04,5.250570883478732076e-02,4.519897884949855560e-02,4.371896565541037033e-02,2.336855786441008678e-02,3.907977155920691614e-02,0.000000000000000000e+00
3.520000000000005872e-04,4.124862883480576864e-02,5.927032884950211855e-02,4.747130565539695035e-02,3.650188786440237282e-02,4.408297155920135046e-02,0.000000000000000000e+00
3.540000000000005816e-04,5.375650883478474279e-02,5.457982884948940627e-02,2.495708565540508475e-02,4.963521786438220007e-02,5.408929155920000342e-02,0.000000000000000000e+00
3.560000000000005760e-04,6.001050883481057197e-02,3.269102884950661481e-02,3.996656565540793182e-02,4.525741786440153763e-02,2.907345155919999896e-02,0.000000000000000000e+00
3.580000000000005704e-04,6.876610883479918057e-02,5.457982884949991870e-02,6.248084565540030361e-02,5.182411786439999890e-02,3.407657155920013753e-02,0.000000000000000000e+00
3.600000000000005648e-04,6.251210883479857428e-02,4.988942884950178097e-02,4.934750565539145623e-02,5.620184786440996644e-02,3.157497155920569593e-02,0.000000000000000000e+00
3.620000000000005592e-04,5.375650883480325576e-02,4.363547884950068345e-02,5.497610565540406863e-02,5.182411786439430207e-02,4.158137155919999772e-02,0.000000000000000000e+00
3.640000000000005536e-04,6.376290883479945881e-02,4.519897884949999889e-02,4.934750565540325234e-02,4.306851786439904600e-02,3.907977155920053930e-02,0.000000000000000000e+00
3.660000000000005480e-04,7.627090883480108774e-02,4.832592884949593603e-02,3.621422565542278121e-02,7.152407786440190263e-02,5.158769155920433364e-02,0.000000000000000000e+00
3.680000000000005424e-04,7.752170883480000163e-02,3.425452884950067750e-02,6.998552565539511994e-02,7.152407786439952952e-02,4.408297155920053861e-02,0.000000000000000000e+00
3.700000000000005368e-04,7.877250883479837429e-02,5.301632884952441060e-02,3.433802565540976237e-02,5.839074786439715781e-02,4.408297155921301475e-02,0.000000000000000000e+00
3.720000000000005312e-04,7.001690883479917693e-02,6.708782884949288094e-02,6.998552565539756243e-02,5.620184786439715724e-02,4.408297155920488236e-02,0.000000000000000000e+00
3.740000000000005256e-04,7.877250883479945676e-02,5.614332884949999741e-02,4.747130565540101654e-02,5.401294786439988366e-02,6.659721155919917646e-02,0.000000000000000000e+00
3.760000000000005200e-04,8.252490883479729478e-02,6.708782884950507952e-02,5.872844565539593609e-02,5.401294786440474782e-02,5.659089155920000308e-02,0.000000000000000000e+00
3.780000000000005144e-04,7.001690883479905203e-02,6.865132884949642911e-02,4.559516565539857569e-02,5.401294786440083429e-02,5.158769155920094746e-02,0.000000000000000000e+00
3.800000000000005088e-04,7.627090883479763217e-02,4.988942884950253731e-02,4.559516565539897814e-02,4.963521786440178163e-02,4.908609155920135025e-02,0.000000000000000000e+00
3.820000000000005032e-04,1.012865088348152559e-01,4.832592884950254186e-02,7.936652565540000537e-02,6.933517786440356045e-02,6.159401155920000287e-02,0.000000000000000000e+00
3.840000000000004976e-04,1.162961088347985728e-01,4.363547884950153000e-02,7.373792565539816213e-02,6.276854786440036471e-02,5.909241155919959382e-02,0.000000000000000000e+00
3.860000000000004920e-04,1.087913088348077956e-01,5.770682884951364860e-02,8.124272565541637570e-02,6.714627786442183000e-02,4.658449155919688195e-02,0.000000000000000000e+00
3.880000000000004864e-04,1.238009088347947761e-01,7.490532884949907544e-02,9.062372565540112446e-02,9.997963786439087452e-02,4.908609155920894834e-02,0.000000000000000000e+00
3.900000000000004808e-04,1.112929088348004053e-01,6.708782884950068026e-02,7.561412565540183428e-02,6.057964786440261235e-02,6.409561155920000253e-02,0.000000000000000000e+00
3.920000000000004752e-04,1.338073088348141759e-01,8.741332884950643589e-02,6.060464565540579079e-02,5.620184786442254665e-02,7.160041155919999456e-02,0.000000000000000000e+00
3.940000000000004696e-04,1.438137088347959114e-01,9.054032884949542170e-02,7.186172565539999946e-02,8.246843786440284652e-02,7.410193155919918284e-02,0.000000000000000000e+00
3.960000000000004640e-04,1.313057088348000001e-01,6.865132884950253533e-02,8.124272565539694679e-02,8.903513786440070410e-02,7.910513155919755846e-02,0.000000000000000000e+00
3.980000000000004584e-04,1.488169088347971458e-01,9.210382884950830962e-02,1.037571256553843357e-01,1.021685378643933523e-01,1.041209715591829149e-01,0.000000000000000000e+00
4.000000000000004528e-04,1.288041088348004237e-01,1.030483288495006866e-01,6.998552565540143433e-02,8.246843786440023749e-02,7.660353155919863433e-02,0.000000000000000000e+00
4.020000000000004473e-04,1.438137088348208636e-01,1.218098288494999931e-01,9.625232565540446650e-02,9.560183786438956888e-02,7.660353155922684787e-02,0.000000000000000000e+00
4.040000000000004417e-04,1.738325088347905112e-01,1.202463288494991511e-01,1.112619256553979558e-01,8.465733786440593489e-02,1.041209715592027046e-01,0.000000000000000000e+00
4.060000000000004361e-04,1.400613088348026392e-01,1.139923288495007653e-01,1.018809256554009113e-01,9.779073786439963778e-02,1.041209715592008173e-01,0.000000000000000000e+00
4.080000000000004305e-04,1.688293088348097604e-01,1.124288288494969534e-01,1.000047256554054964e-01,9.779073786440854732e-02,1.066225715592122036e-01,0.000000000000000000e+00
4.100000000000004249e-04,1.763341088347993302e-01,1.108653288495012740e-01,1.075095256554035733e-01,1.153019378644041526e-01,1.241337715591993157e-01,0.000000000000000000e+00
4.120000000000004193e-04,1.775849088347985771e-01,1.202463288494982213e-01,1.187667256554007095e-01,1.306242378644000002e-01,1.116257715592038069e-01,0.000000000000000000e+00
4.140000000000004137e-04,1.750833088348140998e-01,1.311908288495066133e-01,1.319001256553973545e-01,1.196797378643984638e-01,1.066225715592088175e-01,0.000000000000000000e+00
4.160000000000004081e-04,2.113565088348004217e-01,1.483893288495000962e-01,1.337757256553999963e-01,1.262464378644001239e-01,1.191305715591995940e-01,0.000000000000000000e+00
4.180000000000004025e-04,2.213629088348085527e-01,1.593338288494964561e-01,1.375281256554042875e-01,1.350020378643999874e-01,1.066225715592085538e-01,0.000000000000000000e+00
4.200000000000003969e-04,2.413753088348006004e-01,1.499528288494984818e-01,1.337757256554027441e-01,1.262464378644010676e-01,1.416449715592024428e-01,0.000000000000000000e+00
4.220000000000003913e-04,2.376229088348010832e-01,1.530798288494986392e-01,1.469091256553983760e-01,1.393798378643976155e-01,1.416449715592010827e-01,0.000000000000000000e+00
4.240000000000003857e-04,2.488801088348161217e-01,1.593338288495158572e-01,1.375281256554103937e-01,1.831571378644080705e-01,1.516513715592023026e-01,0.000000000000000000e+00
4.260000000000003801e-04,2.751469088348005299e-01,1.687148288494976223e-01,1.600425256554024456e-01,1.809682378643966694e-01,1.641593715592010727e-01,0.000000000000000000e+00
4.280000000000003745e-04,2.763977088348005817e-01,1.624608288494979735e-01,1.712997256553999981e-01,1.722126378643971389e-01,1.716641715591989137e-01,0.000000000000000000e+00
4.300000000000003689e-04,2.964105088348211736e-01,1.624608288495010266e-01,1.900617256553987777e-01,1.853460378644028461e-01,1.591561715592016424e-01,0.000000000000000000e+00
4.320000000000003633e-04,3.364357088348000069e-01,1.749688288494999910e-01,1.863093256554000099e-01,1.853460378643999873e-01,1.691625715592000034e-01,0.000000000000000000e+00
4.340000000000003577e-04,2.889057088348054303e-01,1.796593288495237362e-01,2.031951256554020147e-01,1.787793378644094988e-01,1.716641715592217010e-01,0.000000000000000000e+00
4.360000000000003521e-04,3.226769088348092063e-01,1.952938288495013608e-01,2.088237256554024424e-01,2.138017378643999877e-01,2.016825715592043267e-01,0.000000000000000000e+00
4.380000000000003465e-04,3.627025088347948789e-01,2.078018288494974386e-01,2.294619256553959152e-01,2.116128378644005770e-01,2.166921715591986486e-01,0.000000000000000000e+00
